location,size,total_sqft,bath,price,Place,bhk
"Vasant Vihar Builder Floor, Vasant Vihar",4 bhk,1800,3,550,Delhi,4
Vasant Kunj,2 bhk,1100,2,150,Delhi,2
Greater Kailash 1,4 bhk,22050,4,510,Delhi,4
Rohini Sector 24,4 bhk,1550,3,130,Delhi,4
Greater Kailash 1,3 bhk,1600,3,300,Delhi,3
"Khanpur, Madangir",2 bhk,700,2,24,Delhi,2
"Batla House, Okhla",4 bhk,45,3,55,Delhi,4
"Friends Colony West, New Friends Colony",4 bhk,3510,4,450,Delhi,4
New Friends Colony,4 bhk,4500,4,600,Delhi,4
New Friends Colony,4 bhk,1800,4,650,Delhi,4
"Maharani Bagh, New Friends Colony",5 bhk,6000,5,2200,Delhi,5
"New Friends Colony carpet area 4300 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 2 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold hurry up... dont waste time any where, It is best deal in your pocket budget.well maintained second floor with terrace garden plus 2 additional room on terrace up for sale in new friends colony.the property has 4 king sized bedroom attached bathroom with roof top shower with Jacuzzi. It has 3 big balconies with wonderful outer view. It has modular kitchen with new fittings. It has servant quarter pooja room study room store room etc. It has drawing & dining. It has 2 car parking with gated society. It has 247 hours water supply with full power backup. It is in amazing location. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",4 bhk,4300,4,600,Delhi,4
"Friends Colony East, New Friends Colony",3 bhk,1700,3,385,Delhi,3
"Maharani Bagh, New Friends Colony",3 bhk,2500,3,500,Delhi,3
New Friends Colony,4 bhk,4500,4,750,Delhi,4
"Friends Colony West, New Friends Colony",4 bhk,2450,4,700,Delhi,4
"Maharani Bagh, New Friends Colony",4 bhk,10350,7,1600,Delhi,4
"Maharani Bagh, New Friends Colony",3 bhk,4800,4,850,Delhi,3
New Friends Colony,3 bhk,1600,3,400,Delhi,3
New Friends Colony,4 bhk,3500,4,900,Delhi,4
New Friends Colony,4 bhk,2100,5,560,Delhi,4
"Friends Colony East, New Friends Colony",5 bhk,4200,5,1355,Delhi,5
New Friends Colony,3 bhk,1500,3,600,Delhi,3
"Maharani Bagh, New Friends Colony",4 bhk,8150,5,1700,Delhi,4
"Kalindi Colony, Maharani Bagh, New Friends Colony",4 bhk,2200,4,500,Delhi,4
New Friends Colony,4 bhk,3500,5,580,Delhi,4
"Friends Colony East, New Friends Colony",3 bhk,2070,3,375,Delhi,3
"Maharani Bagh, New Friends Colony",3 bhk,3500,3,450,Delhi,3
New Friends Colony,4 bhk,2000,4,700,Delhi,4
"Taimoor Enclave, New Friends Colony carpet area 2800 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park society Taimoor Enclave car parking 2 Covered, 1 Open bathroom 4 balcony 2 ownership Freehold Two floor of the house is available for sale SECOND AND THIRD FLOOR EXTRA made, provision for LIFT can be provided by the OWNER .DDA FLATS of TAIMOOR ENCLAVE, NEAR GURUDWARA, NEW FRIENDS COLONY, SOUTH DELHI , HOUSE IS ON THE SECOND FLOOR have 3 bed room and 2 wash room and and same on the Third Floor, URGENT SALE, BROKER EXCUSE. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes 100+ Buyers Served",6 bhk,2800,4,295,Delhi,6
New Friends Colony,4 bhk,2550,4,600,Delhi,4
New Friends Colony,4 bhk,4500,4,700,Delhi,4
New Friends Colony,3 bhk,1400,3,500,Delhi,3
New Friends Colony,4 bhk,2800,5,750,Delhi,4
"New Friends Colony Floors, New Friends Colony",4 bhk,2700,4,525,Delhi,4
New Friends Colony,4 bhk,4500,4,550,Delhi,4
"Maharani Bagh, New Friends Colony",4 bhk,7200,4,1200,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2799,4,650,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2650,4,750,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2200,4,475,Delhi,4
"Kailash Colony, Greater Kailash",5 bhk,3500,5,700,Delhi,5
"Kailash Colony, Greater Kailash",4 bhk,2200,4,475,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2200,4,400,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,3500,4,850,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1440,3,260,Delhi,3
"Kailash Colony, Greater Kailash",4 bhk,3150,4,350,Delhi,4
"Kailash Colony, Greater Kailash",2 bhk,900,2,200,Delhi,2
"Kailash Colony, Greater Kailash",4 bhk,3690,5,790,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1200,2,170,Delhi,3
"Kailash Colony, Greater Kailash",4 bhk,4500,4,475,Delhi,4
"Kailash Colony, Greater Kailash",4 bhk,2799,4,430,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1350,3,260,Delhi,3
"Kailash Colony, Greater Kailash",3 bhk,1200,3,250,Delhi,3
"Kailash Colony, Greater Kailash",4 bhk,2177,5,510,Delhi,4
"Kailash Colony, Greater Kailash",3 bhk,1500,3,400,Delhi,3
